delta,FOB,perdas_MW,geracao_MW,considerar_fluxo,considerar_perdas,considerar_rampa,considerar_emissao,fluxo_L0_0,fluxo_L0_1,fluxo_L0_2,fluxo_L1_0,fluxo_L1_1,fluxo_L1_2,fluxo_L2_0,fluxo_L2_1,fluxo_L2_2,fluxo_L3_0,fluxo_L3_1,fluxo_L3_2,ger_GT1_0,ger_GT1_1,ger_GT1_2,ger_GT2_0,ger_GT2_1,ger_GT2_2,ger_GF2_0,ger_GF2_1,ger_GF2_2,ger_GT3_0,ger_GT3_1,ger_GT3_2,ger_GF3_0,ger_GF3_1,ger_GF3_2,execucao
0.34,3401.5999999999995,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,34
0.35,3419.0,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,35
0.36,3436.4,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,36
0.37,3453.8,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,37
0.38,3471.2,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,38
0.39,3488.6,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,39
0.4,3506.0,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,40
0.41,3523.4000000000005,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,41
0.42,3540.8,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,42
0.43,3558.2000000000003,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,43
