simulacao,tipo,id,tempo,valor,execucao
9VVVVV_None,geracao,GT1,2.0,28.8928128134279,9
9VVVVV_None,geracao,GT2,0.0,24.6173047731489,9
9VVVVV_None,geracao,GT2,1.0,27.6173047731489,9
9VVVVV_None,geracao,GT2,2.0,23.617304773148902,9
9VVVVV_None,geracao,GT3,0.0,17.3560816326531,9
9VVVVV_None,geracao,GT3,1.0,20.3560816326531,9
9VVVVV_None,geracao,GT3,2.0,10.3560816326531,9
9VVVVV_None,fluxo,L0,0.0,6.0,9
9VVVVV_None,fluxo,L0,1.0,6.0,9
9VVVVV_None,fluxo,L0,2.0,3.59265859212857,9
9VVVVV_None,fluxo,L1,0.0,12.0,9
9VVVVV_None,fluxo,L1,1.0,12.0,9
9VVVVV_None,fluxo,L1,2.0,12.0,9
9VVVVV_None,fluxo,L2,0.0,12.0,9
9VVVVV_None,fluxo,L2,1.0,12.0,9
9VVVVV_None,fluxo,L2,2.0,12.0,9
9VVVVV_None,fluxo,L3,0.0,-10.0,9
9VVVVV_None,fluxo,L3,1.0,-10.0,9
9VVVVV_None,fluxo,L3,2.0,-8.071136244337431,9
9VVVVV_None,deficit,B2,0.0,0.0,9
9VVVVV_None,deficit,B3,0.0,0.0,9
9VVVVV_None,deficit,B2,1.0,0.0,9
9VVVVV_None,deficit,B3,1.0,0.0,9
9VVVVV_None,deficit,B2,2.0,0.0,9
9VVVVV_None,deficit,B3,2.0,0.0,9
10VVVVV_None,FOB,total,,3011.980436718696,10
10VVVVV_None,geracao,GT1,0.0,31.565223140495902,10
10VVVVV_None,geracao,GT1,1.0,31.565223140495902,10
10VVVVV_None,geracao,GT1,2.0,28.8928128134279,10
10VVVVV_None,geracao,GT2,0.0,24.6173047731489,10
10VVVVV_None,geracao,GT2,1.0,27.6173047731489,10
10VVVVV_None,geracao,GT2,2.0,23.617304773148902,10
10VVVVV_None,geracao,GT3,0.0,17.3560816326531,10
10VVVVV_None,geracao,GT3,1.0,20.3560816326531,10
10VVVVV_None,geracao,GT3,2.0,10.3560816326531,10
10VVVVV_None,fluxo,L0,0.0,6.0,10
10VVVVV_None,fluxo,L0,1.0,6.0,10
10VVVVV_None,fluxo,L0,2.0,3.59265859212857,10
10VVVVV_None,fluxo,L1,0.0,12.0,10
10VVVVV_None,fluxo,L1,1.0,12.0,10
10VVVVV_None,fluxo,L1,2.0,12.0,10
10VVVVV_None,fluxo,L2,0.0,12.0,10
10VVVVV_None,fluxo,L2,1.0,12.0,10
10VVVVV_None,fluxo,L2,2.0,12.0,10
10VVVVV_None,fluxo,L3,0.0,-10.0,10
10VVVVV_None,fluxo,L3,1.0,-10.0,10
10VVVVV_None,fluxo,L3,2.0,-8.071136244337431,10
10VVVVV_None,deficit,B2,0.0,0.0,10
10VVVVV_None,deficit,B3,0.0,0.0,10
10VVVVV_None,deficit,B2,1.0,0.0,10
10VVVVV_None,deficit,B3,1.0,0.0,10
10VVVVV_None,deficit,B2,2.0,0.0,10
10VVVVV_None,deficit,B3,2.0,0.0,10
11VVVVV_None,FOB,total,,3035.386429826777,11
11VVVVV_None,geracao,GT1,0.0,31.565223140495902,11
11VVVVV_None,geracao,GT1,1.0,31.565223140495902,11
11VVVVV_None,geracao,GT1,2.0,28.8928128134279,11
11VVVVV_None,geracao,GT2,0.0,24.6173047731489,11
11VVVVV_None,geracao,GT2,1.0,27.6173047731489,11
11VVVVV_None,geracao,GT2,2.0,23.617304773148902,11
11VVVVV_None,geracao,GT3,0.0,17.3560816326531,11
11VVVVV_None,geracao,GT3,1.0,20.3560816326531,11
11VVVVV_None,geracao,GT3,2.0,10.3560816326531,11
11VVVVV_None,fluxo,L0,0.0,6.0,11
11VVVVV_None,fluxo,L0,1.0,6.0,11
11VVVVV_None,fluxo,L0,2.0,3.59265859212857,11
11VVVVV_None,fluxo,L1,0.0,12.0,11
11VVVVV_None,fluxo,L1,1.0,12.0,11
11VVVVV_None,fluxo,L1,2.0,12.0,11
11VVVVV_None,fluxo,L2,0.0,12.0,11
11VVVVV_None,fluxo,L2,1.0,12.0,11
11VVVVV_None,fluxo,L2,2.0,12.0,11
11VVVVV_None,fluxo,L3,0.0,-10.0,11
11VVVVV_None,fluxo,L3,1.0,-10.0,11
11VVVVV_None,fluxo,L3,2.0,-8.071136244337431,11
11VVVVV_None,deficit,B2,0.0,0.0,11
11VVVVV_None,deficit,B3,0.0,0.0,11
11VVVVV_None,deficit,B2,1.0,0.0,11
11VVVVV_None,deficit,B3,1.0,0.0,11
11VVVVV_None,deficit,B2,2.0,0.0,11
11VVVVV_None,deficit,B3,2.0,0.0,11
12VVVVV_None,FOB,total,,3058.7924229348578,12
12VVVVV_None,geracao,GT1,0.0,31.565223140495902,12
12VVVVV_None,geracao,GT1,1.0,31.565223140495902,12
12VVVVV_None,geracao,GT1,2.0,28.8928128134279,12
12VVVVV_None,geracao,GT2,0.0,24.6173047731489,12
12VVVVV_None,geracao,GT2,1.0,27.6173047731489,12
12VVVVV_None,geracao,GT2,2.0,23.617304773148902,12
12VVVVV_None,geracao,GT3,0.0,17.3560816326531,12
12VVVVV_None,geracao,GT3,1.0,20.3560816326531,12
12VVVVV_None,geracao,GT3,2.0,10.3560816326531,12
12VVVVV_None,fluxo,L0,0.0,6.0,12
12VVVVV_None,fluxo,L0,1.0,6.0,12
12VVVVV_None,fluxo,L0,2.0,3.59265859212857,12
12VVVVV_None,fluxo,L1,0.0,12.0,12
12VVVVV_None,fluxo,L1,1.0,12.0,12
12VVVVV_None,fluxo,L1,2.0,12.0,12
12VVVVV_None,fluxo,L2,0.0,12.0,12
12VVVVV_None,fluxo,L2,1.0,12.0,12
12VVVVV_None,fluxo,L2,2.0,12.0,12
12VVVVV_None,fluxo,L3,0.0,-10.0,12
12VVVVV_None,fluxo,L3,1.0,-10.0,12
12VVVVV_None,fluxo,L3,2.0,-8.071136244337431,12
12VVVVV_None,deficit,B2,0.0,0.0,12
12VVVVV_None,deficit,B3,0.0,0.0,12
12VVVVV_None,deficit,B2,1.0,0.0,12
12VVVVV_None,deficit,B3,1.0,0.0,12
12VVVVV_None,deficit,B2,2.0,0.0,12
12VVVVV_None,deficit,B3,2.0,0.0,12
13VVVVV_None,FOB,total,,3082.1984160429383,13
13VVVVV_None,geracao,GT1,0.0,31.565223140495902,13
13VVVVV_None,geracao,GT1,1.0,31.565223140495902,13
13VVVVV_None,geracao,GT1,2.0,28.8928128134279,13
13VVVVV_None,geracao,GT2,0.0,24.6173047731489,13
13VVVVV_None,geracao,GT2,1.0,27.6173047731489,13
13VVVVV_None,geracao,GT2,2.0,23.617304773148902,13
