restricao,indice,dual,caso
balanco,"('B2', 1)",4272.49999999814,3
balanco,"('B2', 2)",272.500000002794,3
balanco,"('B3', 0)",1817.50000000116,3
balanco,"('B3', 1)",1919.5588235301,3
balanco,"('B3', 2)",272.500000002212,3
limites,"('GT1', 0)",0.0,4
limites,"('GT1', 1)",0.0,4
limites,"('GT1', 2)",0.0,4
limites,"('GT2', 0)",0.0,4
limites,"('GT2', 1)",0.0,4
limites,"('GT2', 2)",0.0,4
limites,"('GT3', 0)",0.0,4
limites,"('GT3', 1)",0.0,4
limites,"('GT3', 2)",1472.94117646586,4
limite_deficit,"('B1', 0)",0.0,4
limite_deficit,"('B1', 1)",0.0,4
limite_deficit,"('B1', 2)",0.0,4
limite_deficit,"('B2', 0)",0.0,4
limite_deficit,"('B2', 1)",0.0,4
limite_deficit,"('B2', 2)",0.0,4
limite_deficit,"('B3', 0)",0.0,4
limite_deficit,"('B3', 1)",0.0,4
limite_deficit,"('B3', 2)",0.0,4
rampa_inf,"('GT1', 1)",0.0,4
rampa_inf,"('GT1', 2)",0.0,4
rampa_inf,"('GT2', 1)",0.0,4
rampa_inf,"('GT2', 2)",-1999.99999999636,4
rampa_inf,"('GT3', 1)",0.0,4
rampa_inf,"('GT3', 2)",-87.0588235313491,4
rampa_sup,"('GT1', 1)",0.0,4
rampa_sup,"('GT1', 2)",0.0,4
rampa_sup,"('GT2', 1)",0.0,4
rampa_sup,"('GT2', 2)",0.0,4
rampa_sup,"('GT3', 1)",0.0,4
rampa_sup,"('GT3', 2)",0.0,4
restr_fluxo_sup,"('L0', 0)",-2933.33333331838,4
restr_fluxo_sup,"('L0', 1)",-8991.08734404012,4
restr_fluxo_sup,"('L0', 2)",0.0,4
restr_fluxo_sup,"('L1', 0)",-2504.00000000903,4
restr_fluxo_sup,"('L1', 1)",0.0,4
restr_fluxo_sup,"('L1', 2)",0.0,4
restr_fluxo_sup,"('L2', 0)",0.0,4
restr_fluxo_sup,"('L2', 1)",0.0,4
restr_fluxo_sup,"('L2', 2)",0.0,4
restr_fluxo_sup,"('L3', 0)",0.0,4
restr_fluxo_sup,"('L3', 1)",0.0,4
restr_fluxo_sup,"('L3', 2)",0.0,4
restr_fluxo_inf,"('L0', 0)",0.0,4
restr_fluxo_inf,"('L0', 1)",0.0,4
restr_fluxo_inf,"('L0', 2)",0.0,4
restr_fluxo_inf,"('L1', 0)",0.0,4
restr_fluxo_inf,"('L1', 1)",0.0,4
restr_fluxo_inf,"('L1', 2)",0.0,4
restr_fluxo_inf,"('L2', 0)",0.0,4
restr_fluxo_inf,"('L2', 1)",0.0,4
restr_fluxo_inf,"('L2', 2)",0.0,4
restr_fluxo_inf,"('L3', 0)",0.0,4
restr_fluxo_inf,"('L3', 1)",0.0,4
restr_fluxo_inf,"('L3', 2)",0.0,4
balanco,"('B1', 0)",279.999999999918,4
balanco,"('B1', 1)",279.9999999983,4
balanco,"('B1', 2)",280.00000000208,4
balanco,"('B2', 0)",2279.99999999697,4
balanco,"('B2', 1)",4280.00000000279,4
balanco,"('B2', 2)",280.000000002095,4
balanco,"('B3', 0)",1840.00000000093,4
balanco,"('B3', 1)",1927.05882353045,4
balanco,"('B3', 2)",280.000000002794,4
limites,"('GT1', 0)",0.0,5
limites,"('GT1', 1)",0.0,5
limites,"('GT1', 2)",0.0,5
limites,"('GT2', 0)",0.0,5
limites,"('GT2', 1)",0.0,5
limites,"('GT2', 2)",0.0,5
limites,"('GT3', 0)",0.0,5
limites,"('GT3', 1)",0.0,5
limites,"('GT3', 2)",1502.94117646993,5
limite_deficit,"('B1', 0)",0.0,5
limite_deficit,"('B1', 1)",0.0,5
limite_deficit,"('B1', 2)",0.0,5
limite_deficit,"('B2', 0)",0.0,5
limite_deficit,"('B2', 1)",0.0,5
limite_deficit,"('B2', 2)",0.0,5
limite_deficit,"('B3', 0)",0.0,5
limite_deficit,"('B3', 1)",0.0,5
limite_deficit,"('B3', 2)",0.0,5
rampa_inf,"('GT1', 1)",0.0,5
rampa_inf,"('GT1', 2)",0.0,5
rampa_inf,"('GT2', 1)",0.0,5
rampa_inf,"('GT2', 2)",-2000.00000000003,5
rampa_inf,"('GT3', 1)",0.0,5
rampa_inf,"('GT3', 2)",-72.0588235297193,5
rampa_sup,"('GT1', 1)",0.0,5
rampa_sup,"('GT1', 2)",0.0,5
rampa_sup,"('GT2', 1)",0.0,5
rampa_sup,"('GT2', 2)",0.0,5
rampa_sup,"('GT3', 1)",0.0,5
rampa_sup,"('GT3', 2)",0.0,5
restr_fluxo_sup,"('L0', 0)",-2901.51515150754,5
restr_fluxo_sup,"('L0', 1)",-8991.08734403004,5
restr_fluxo_sup,"('L0', 2)",0.0,5
restr_fluxo_sup,"('L1', 0)",-2554.99999999615,5
restr_fluxo_sup,"('L1', 1)",0.0,5
restr_fluxo_sup,"('L1', 2)",0.0,5
restr_fluxo_sup,"('L2', 0)",0.0,5
restr_fluxo_sup,"('L2', 1)",0.0,5
restr_fluxo_sup,"('L2', 2)",0.0,5
restr_fluxo_sup,"('L3', 0)",0.0,5
restr_fluxo_sup,"('L3', 1)",0.0,5
restr_fluxo_sup,"('L3', 2)",0.0,5
restr_fluxo_inf,"('L0', 0)",0.0,5
restr_fluxo_inf,"('L0', 1)",0.0,5
restr_fluxo_inf,"('L0', 2)",0.0,5
restr_fluxo_inf,"('L1', 0)",0.0,5
restr_fluxo_inf,"('L1', 1)",0.0,5
restr_fluxo_inf,"('L1', 2)",0.0,5
restr_fluxo_inf,"('L2', 0)",0.0,5
restr_fluxo_inf,"('L2', 1)",0.0,5
restr_fluxo_inf,"('L2', 2)",0.0,5
restr_fluxo_inf,"('L3', 0)",0.0,5
restr_fluxo_inf,"('L3', 1)",0.0,5
restr_fluxo_inf,"('L3', 2)",0.0,5
balanco,"('B1', 0)",287.500000000308,5
balanco,"('B1', 1)",287.499999999991,5
balanco,"('B1', 2)",287.500000000127,5
balanco,"('B2', 0)",2287.49999999558,5
balanco,"('B2', 1)",4287.50000000012,5
balanco,"('B2', 2)",287.500000001397,5
balanco,"('B3', 0)",1862.49999999732,5
balanco,"('B3', 1)",1934.55882353021,5
balanco,"('B3', 2)",287.500000000349,5
limites,"('GT1', 0)",0.0,6
limites,"('GT1', 1)",0.0,6
limites,"('GT1', 2)",0.0,6
limites,"('GT2', 0)",0.0,6
limites,"('GT2', 1)",0.0,6
limites,"('GT2', 2)",0.0,6
limites,"('GT3', 0)",0.0,6
limites,"('GT3', 1)",0.0,6
limites,"('GT3', 2)",1532.94117646672,6
limite_deficit,"('B1', 0)",0.0,6
limite_deficit,"('B1', 1)",0.0,6
limite_deficit,"('B1', 2)",0.0,6
limite_deficit,"('B2', 0)",0.0,6
limite_deficit,"('B2', 1)",0.0,6
